"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-08-02","Erich Bacchus","NYY","TOR","5","8","168","3","6.8","165","161.2","3.8","98.2","96","2.3","98.2","0.44","0.44"
"","2024-08-02","Andy Fletcher","CLE","BAL","8","4","166","12","9.7","154","156.3","-2.3","92.8","94.2","-1.4","91.6","-0.19","2.35"
"","2024-08-02","Malachi Moore","CIN","SF","0","3","145","14","11.4","131","133.6","-2.6","90.3","92.1","-1.8","94.5","-0.18","1.38"
"","2024-08-02","Todd Tichenor","ATL","MIA","5","3","140","8","12.9","132","127.1","4.9","94.3","90.8","3.5","95.7","-0.29","0.87"
"","2024-08-02","John Libka","TEX","BOS","6","11","153","7","8.8","146","144.2","1.8","95.4","94.2","1.2","94.1","0.56","0.88"
"","2024-08-02","Doug Eddings","HOU","TB","3","2","140","11","8.6","129","131.4","-2.4","92.1","93.9","-1.7","90.7","0.18","1.02"
"","2024-08-02","James Jean","MIN","CWS","10","2","146","11","13.7","135","132.3","2.7","92.5","90.6","1.9","87.7","-0.39","0.91"
"","2024-08-02","Brennan Miller","LAA","NYM","1","5","160","13","11.5","147","148.5","-1.5","91.9","92.8","-0.9","93.8","0.16","1.94"
"","2024-08-02","Phil Cuzzi","OAK","LAD","6","5","143","5","8.4","138","134.6","3.4","96.5","94.1","2.4","94.4","-0.26","0.48"
"","2024-08-02","Larry Vanover","SD","COL","2","5","136","13","8.3","123","127.7","-4.7","90.4","93.9","-3.5","92.6","-1.22","1.86"
"","2024-08-02","Brian Walsh","SEA","PHI","10","2","152","9","8.4","143","143.6","-0.6","94.1","94.5","-0.4","92.1","0.35","1.47"
"","2024-08-01","John Bacon","CLE","BAL","10","3","166","12","9.1","154","156.9","-2.9","92.8","94.5","-1.7","92.8","-0.08","1.1"
"","2024-08-01","Jim Wolf","DET","KC","1","7","129","11","10.4","118","118.6","-0.6","91.5","91.9","-0.5","94.6","0.36","0.9"
"","2024-08-01","Manny Gonzalez","ATL","MIA","4","2","132","11","11.8","121","120.2","0.8","91.7","91.1","0.6","93.2","-0.45","1.09"
"","2024-08-01","Jeremie Rehak","CHC","STL","5","4","116","5","9.8","111","106.2","4.8","95.7","91.5","4.1","94.8","-0.07","0.85"
"","2024-08-01","Jacob Metz","LAA","COL","4","5","145","14","10","131","135","-4","90.3","93.1","-2.8","89","0.6","1.58"
