"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-05-13","Chris Conroy","BAL","TOR","2","3","154","9","8.3","145","145.7","-0.7","94.2","94.6","-0.5","94.2","-0.99","1.39"
"","2024-05-13","Dan Iassogna","DET","MIA","6","5","127","9","8.8","118","118.2","-0.2","92.9","93.1","-0.2","89.8","0.12","0.88"
"","2024-05-13","Tony Randazzo","BOS","TB","3","5","149","9","9.8","140","139.2","0.8","94","93.4","0.6","91.9","-0.51","0.91"
"","2024-05-13","Gabe Morales","NYM","PHI","4","5","168","12","9.7","156","158.3","-2.3","92.9","94.2","-1.4","94","0.14","1.4"
"","2024-05-13","Quinn Wolcott","ATL","CHC","2","0","133","9","11","124","122","2","93.2","91.7","1.5","96.2","-0.21","1.17"
"","2024-05-13","Malachi Moore","MIL","PIT","6","8","186","18","15.9","168","170.1","-2.1","90.3","91.5","-1.1","93","0.55","2.69"
"","2024-05-13","Mark Wegner","TEX","CLE","0","7","158","4","8.3","154","149.7","4.3","97.5","94.7","2.7","93","0.05","0.71"
"","2024-05-13","Laz Diaz","HOU","OAK","9","2","140","6","7","134","133","1","95.7","95","0.7","97.1","0.11","0.61"
"","2024-05-13","Nate Tomlinson","LAA","STL","5","10","174","9","14.3","165","159.7","5.3","94.8","91.8","3.1","92","-0.29","1.81"
"","2024-05-13","Mark Carlson","AZ","CIN","6","5","204","9","11","195","193","2","95.6","94.6","1","96.1","-0.8","1.44"
"","2024-05-13","Alfonso Márquez","SD","COL","4","5","167","8","9.2","159","157.8","1.2","95.2","94.5","0.7","94.6","1.4","1.56"
"","2024-05-13","Sean Barber","SEA","KC","6","2","148","11","9.9","137","138.1","-1.1","92.6","93.3","-0.7","89.2","0.74","1.86"
"","2024-05-13","Marvin Hudson","SF","LAD","4","6","183","13","13","170","170","0","92.9","92.9","0","94.5","-0.6","1.58"
"","2024-05-12","Bill Miller","BAL","AZ","2","9","165","11","10.9","154","154.1","-0.1","93.3","93.4","-0.1","96.4","0.12","1.36"
"","2024-05-12","Brian O'Nora","BOS","WSH","3","2","135","9","7.3","126","127.7","-1.7","93.3","94.6","-1.3","96.3","-0.33","1.43"
"","2024-05-12","Andy Fletcher","PIT","CHC","4","5","222","10","13.8","212","208.2","3.8","95.5","93.8","1.7","91.9","0.4","0.98"
"","2024-05-12","Alex Tosi","TOR","MIN","1","5","139","4","12.7","135","126.3","8.7","97.1","90.9","6.2","95","-0.01","0.29"
"","2024-05-12","Brian Walsh","DET","HOU","3","9","164","9","12.8","155","151.2","3.8","94.5","92.2","2.3","93.3","0.77","1.05"
"","2024-05-12","Jeremy Riggs","MIA","PHI","7","6","164","4","9","160","155","5","97.6","94.5","3","95.1","0.22","0.6"
"","2024-05-12","Adrian Johnson","TB","NYY","6","10","167","7","11.1","160","155.9","4.1","95.8","93.4","2.5","94","0.44","0.76"
"","2024-05-12","Nic Lentz","CWS","CLE","0","7","132","7","7.2","125","124.8","0.2","94.7","94.5","0.2","95.5","-0.15","0.69"
"","2024-05-12","Alan Porter","MIL","STL","3","4","181","6","12.8","175","168.2","6.8","96.7","92.9","3.8","91.7","1.51","2.19"
"","2024-05-12","Ryan Wills","COL","TEX","3","1","133","4","7.7","129","125.3","3.7","97","94.2","2.8","92.5","0.76","0.76"
"","2024-05-12","David Rackley","SF","CIN","6","5","183","13","14.1","170","168.9","1.1","92.9","92.3","0.6","91.3","0.59","1.87"
"","2024-05-12","Dan Merzel","LAA","KC","2","4","129","7","7.6","122","121.4","0.6","94.6","94.1","0.5","95.3","0.37","1.49"
"","2024-05-12","Tripp Gibson","SD","LAD","4","0","134","9","7.9","125","126.1","-1.1","93.3","94.1","-0.9","95.5","0.68","1.06"
"","2024-05-12","Alex MacKay","SEA","OAK","8","4","153","5","10","148","143","5","96.7","93.5","3.3","95.4","0.47","0.69"
"","2024-05-12","Rob Drake","NYM","ATL","4","3","160","11","10.1","149","149.9","-0.9","93.1","93.7","-0.5","94.4","0.07","1.65"
"","2024-05-11","Phil Cuzzi","TOR","MIN","10","8","182","8","10.6","174","171.4","2.6","95.6","94.2","1.4","92.9","0.79","1.19"
"","2024-05-11","Chad Whitson","BAL","AZ","5","4","149","10","7.5","139","141.5","-2.5","93.3","95","-1.7","94","-0.04","1.34"
"","2024-05-11","Paul Clemons","PIT","CHC","10","9","192","15","13.3","177","178.7","-1.7","92.2","93.1","-0.9","93.8","0.4","1.74"
"","2024-05-11","Brennan Miller","BOS","WSH","4","2","122","6","7.5","116","114.5","1.5","95.1","93.9","1.2","93.4","0.16","0.74"
"","2024-05-11","James Hoye","NYM","ATL","1","4","157","11","9.7","146","147.3","-1.3","93","93.8","-0.8","94.9","0.1","1.16"
"","2024-05-11","Manny Gonzalez","MIA","PHI","3","8","137","11","8.3","126","128.7","-2.7","92","94","-2","94.2","-0.46","1.34"
"","2024-05-11","Ramon De Jesus","TB","NYY","7","2","152","8","9.6","144","142.4","1.6","94.7","93.7","1.1","92.8","-0.12","0.68"
"","2024-05-11","Adam Hamari","DET","HOU","8","2","161","11","10.9","150","150.1","-0.1","93.2","93.2","0","92.5","0.13","1.51"
"","2024-05-11","Scott Barry","CWS","CLE","3","1","123","8","10.1","115","112.9","2.1","93.5","91.7","1.7","93.5","0.27","0.91"
"","2024-05-11","Larry Vanover","SF","CIN","5","1","153","10","9.4","143","143.6","-0.6","93.5","93.8","-0.4","94.8","-0.57","1.55"
"","2024-05-11","Jim Wolf","MIL","STL","5","3","174","13","11.9","161","162.1","-1.1","92.5","93.2","-0.7","93.7","-0.48","1.84"
"","2024-05-11","Chad Fairchild","COL","TEX","8","3","144","12","11.2","132","132.8","-0.8","91.7","92.2","-0.6","93.1","-0.33","1.13"
"","2024-05-11","Erich Bacchus","SD","LAD","0","5","153","10","10.8","143","142.2","0.8","93.5","93","0.5","87.6","0.15","0.83"
"","2024-05-11","Jordan Baker","LAA","KC","9","3","135","8","9.8","127","125.2","1.8","94.1","92.7","1.3","94.8","0.45","0.77"
"","2024-05-11","Roberto Ortiz","SEA","OAK","1","8","133","10","9.7","123","123.3","-0.3","92.5","92.7","-0.2","92.5","0.46","0.94"
"","2024-05-10","Vic Carapazza","DET","HOU","2","5","144","9","9.9","135","134.1","0.9","93.8","93.1","0.6","92.4","0.47","1.29"
"","2024-05-10","Jansen Visconti","PIT","CHC","2","7","140","8","9.2","132","130.8","1.2","94.3","93.4","0.9","94.3","-1.12","1.34"
"","2024-05-10","Junior Valentine","TB","NYY","0","2","157","8","8.2","149","148.8","0.2","94.9","94.7","0.2","95.5","-0.26","1.26"
"","2024-05-10","John Bacon","BAL","AZ","4","2","146","4","5.9","142","140.1","1.9","97.3","96","1.3","95.2","0.47","0.93"
"","2024-05-10","Tom Hanahan","TOR","MIN","2","3","128","10","10.9","118","117.1","0.9","92.2","91.5","0.7","90.6","-0.06","1.38"
"","2024-05-10","Chris Conroy","BOS","WSH","1","5","150","5","8.4","145","141.6","3.4","96.7","94.4","2.2","96.7","0.1","0.3"
"","2024-05-10","John Libka","NYM","ATL","2","4","143","6","9.5","137","133.5","3.5","95.8","93.3","2.5","97.2","0","0.56"
"","2024-05-10","Cory Blaser","MIA","PHI","2","8","166","17","12.9","149","153.1","-4.1","89.8","92.2","-2.5","91","-0.83","2.39"
"","2024-05-10","Doug Eddings","CWS","CLE","6","3","113","9","6.8","104","106.2","-2.2","92","94","-1.9","94.7","0.14","0.66"
"","2024-05-10","Edwin Jimenez","MIL","STL","11","2","154","9","8.7","145","145.3","-0.3","94.2","94.4","-0.2","94.2","0.02","1.5"
"","2024-05-10","Charlie Ramos","COL","TEX","4","2","125","12","8.4","113","116.6","-3.6","90.4","93.3","-2.9","93.6","0.13","3.25"
"","2024-05-10","Mark Ripperger","LAA","KC","1","2","138","8","11","130","127","3","94.2","92","2.2","92","0.89","1.05"
"","2024-05-10","Mike Estabrook","SD","LAD","2","1","121","9","12.9","112","108.1","3.9","92.6","89.4","3.2","92.6","0.35","1.19"
"","2024-05-10","Lance Barrett","SEA","OAK","8","1","166","19","15.9","147","150.1","-3.1","88.6","90.4","-1.9","91","1","3.82"
"","2024-05-10","Chris Segal","SF","CIN","2","4","152","10","7.5","142","144.5","-2.5","93.4","95","-1.6","96.1","-0.36","0.78"
"","2024-05-09","Edwin Moscoso","CIN","AZ","4","5","161","5","7.9","156","153.1","2.9","96.9","95.1","1.8","95","-0.81","1.27"
"","2024-05-09","Nate Tomlinson","MIN","SEA","11","1","165","7","9.1","158","155.9","2.1","95.8","94.5","1.3","93.9","-0.22","1.02"
"","2024-05-09","Alex MacKay","COL","SF","9","1","128","9","9.2","119","118.8","0.2","93","92.8","0.2","92.2","0.42","1.04"
"","2024-05-09","Derek Thomas","NYY","HOU","3","4","174","7","10.2","167","163.8","3.2","96","94.2","1.8","94.8","-0.01","0.75"
"","2024-05-09","Angel Hernandez","CWS","CLE","3","2","117*","9*","7.7*","108*","109.3*","-1.3*","92.3*","93.4*","-1.1*","94*","-0.79*","1.61*"
"","2024-05-09","Sean Barber","MIL","STL","7","1","153","10","12.4","143","140.6","2.4","93.5","91.9","1.5","89.5","-0.17","2.15"
"","2024-05-09","Stu Scheurwater","LAA","KC","4","10","159","10","11.6","149","147.4","1.6","93.7","92.7","1","91.8","0.63","2.13"
"","2024-05-08","Jonathan Parra","PIT","LAA","4","5","150","11","11.3","139","138.7","0.3","92.7","92.4","0.2","92.7","1.08","1.76"
"","2024-05-08","Mike Muchlinski","PHI","TOR","3","5","150","7","10.6","143","139.4","3.6","95.3","93","2.4","92.7","0.41","0.67"
"","2024-05-08","Quinn Wolcott","CLE","DET","5","4","136","8","9.5","128","126.5","1.5","94.1","93","1.1","89.7","-0.23","0.67"
"","2024-05-08","Todd Tichenor","KC","MIL","6","4","153","5","9.6","148","143.4","4.6","96.7","93.7","3","94.1","-0.05","0.39"
"","2024-05-08","Malachi Moore","CHC","SD","0","3","154","9","12.4","145","141.6","3.4","94.2","91.9","2.2","92.9","-0.21","1.07"
"","2024-05-08","Alfonso Márquez","LAD","MIA","3","1","111","9","8.2","102","102.8","-0.8","91.9","92.6","-0.7","90.1","0.13","0.63"
"","2024-05-08","Tripp Gibson","OAK","TEX","9","4","136","7","8.8","129","127.2","1.8","94.9","93.5","1.3","93.4","-0.09","0.73"
"","2024-05-08","Laz Diaz","OAK","TEX","11","12","190","13","11.7","177","178.3","-1.3","93.2","93.9","-0.7","95.3","-0.68","2.06"
"","2024-05-08","Adam Hamari","CIN","AZ","3","4","132","5","9.5","127","122.5","4.5","96.2","92.8","3.4","95.5","-0.56","0.72"
"","2024-05-08","Dan Bellino","WSH","BAL","6","7","178","7","11.7","171","166.3","4.7","96.1","93.4","2.6","93.3","0.02","0.88"
"","2024-05-08","Carlos Torres","TB","CWS","1","4","160","12","10.3","148","149.7","-1.7","92.5","93.6","-1.1","95","-0.3","1.38"
"","2024-05-08","Brian O'Nora","NYY","HOU","9","4","141","9","8.6","132","132.4","-0.4","93.6","93.9","-0.3","92.2","0.25","1.03"
"","2024-05-08","Alan Porter","ATL","BOS","5","0","122","6","6.1","116","115.9","0.1","95.1","95","0.1","94.3","0.32","0.66"
"","2024-05-08","David Rackley","MIN","SEA","6","3","125","7","9.8","118","115.2","2.8","94.4","92.1","2.3","93.6","-0.02","0.64"
"","2024-05-08","Nestor Ceja","COL","SF","6","8","168","9","14.7","159","153.3","5.7","94.6","91.2","3.4","94.6","-0.17","1.01"
