"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2023-08-29","Laz Diaz","PHI","LAA","12","7","128","6","5.9","122","122.1","-0.1","95.3","95.4","-0.1","97.7","0.38","0.7"
"","2023-08-29","Will Little","MIA","TB","2","11","172","12","13.8","160","158.2","1.8","93","92","1","94.8","-1","1.56"
"","2023-08-29","Adam Hamari","DET","NYY","2","4","150","8","11.6","142","138.4","3.6","94.7","92.2","2.4","90.7","-0.3","0.96"
"","2023-08-29","Cory Blaser","BAL","CWS","9","3","153","6","9.5","147","143.5","3.5","96.1","93.8","2.3","96.1","-0.58","0.98"
"","2023-08-29","Jeremie Rehak","TOR","WSH","4","5","166","15","11.2","151","154.8","-3.8","91","93.3","-2.3","91.6","1.27","2.61"
"","2023-08-29","Clint Vondrak","BOS","HOU","2","6","178","11","12.8","167","165.2","1.8","93.8","92.8","1","93.3","1.05","1.47"
"","2023-08-29","Jim Wolf","NYM","TEX","1","2","142","9","10.9","133","131.1","1.9","93.7","92.3","1.3","91.5","0.25","0.91"
"","2023-08-29","Derek Thomas","MIN","CLE","2","4","157","6","8.3","151","148.7","2.3","96.2","94.7","1.5","96.2","0.51","0.89"
"","2023-08-29","Mark Ripperger","STL","SD","6","5","154","8","14.9","146","139.1","6.9","94.8","90.3","4.5","92.9","-0.74","1.2"
"","2023-08-29","John Libka","CHC","MIL","1","0","126*","6*","6.7*","120*","119.3*","0.7*","95.2*","94.7*","0.6*","93.7*","-0.61*","1.11*"
"","2023-08-29","Brian O'Nora","KC","PIT","3","6","145","14","11.6","131","133.4","-2.4","90.3","92","-1.7","94.5","0.89","2.09"
"","2023-08-29","Ryan Blakney","COL","ATL","1","3","128","8","6.8","120","121.2","-1.2","93.8","94.7","-0.9","93.8","-0.25","0.73"
"","2023-08-29","Ben May","SEA","OAK","1","3","155","10","10.4","145","144.6","0.4","93.5","93.3","0.2","92.9","-0.28","0.96"
"","2023-08-29","Rob Drake","SF","CIN","6","1","146","10","8.7","136","137.3","-1.3","93.2","94","-0.9","94.5","0.37","1.01"
"","2023-08-29","Brian Knight","LAD","AZ","9","1","147","9","5.9","138","141.1","-3.1","93.9","96","-2.1","93.2","-0.05","0.71"
"","2023-08-28","Erich Bacchus","PHI","LAA","6","4","136","3","5.6","133","130.4","2.6","97.8","95.9","1.9","97.1","-0.02","0.4"
"","2023-08-28","Vic Carapazza","DET","NYY","1","4","156","4","10","152","146","6","97.4","93.6","3.8","93.6","0.11","0.67"
"","2023-08-28","Ron Kulpa","BAL","CWS","9","0","141","6","8.2","135","132.8","2.2","95.7","94.2","1.6","97.2","-0.03","0.65"
"","2023-08-28","Paul Clemons","TOR","WSH","6","3","159","7","8.7","152","150.3","1.7","95.6","94.5","1.1","92.5","0.17","0.97"
"","2023-08-28","Dan Iassogna","BOS","HOU","5","13","190","8","11.9","182","178.1","3.9","95.8","93.7","2.1","92.1","0.3","1.06"
"","2023-08-28","Alan Porter","NYM","TEX","3","4","144","9","8.8","135","135.2","-0.2","93.8","93.9","-0.1","91.7","0.24","1.1"
"","2023-08-28","Hunter Wendelstedt","MIN","CLE","10","6","155","12","11.9","143","143.1","-0.1","92.3","92.4","-0.1","87.7","-0.27","1.69"
"","2023-08-28","Phil Cuzzi","STL","SD","1","4","159","6","9.6","153","149.4","3.6","96.2","93.9","2.3","95","-0.81","1.19"
"","2023-08-28","James Hoye","CHC","MIL","2","6","145","10","13.1","135","131.9","3.1","93.1","91","2.1","91","0.29","0.65"
"","2023-08-28","Nestor Ceja","KC","PIT","0","5","137","11","10.8","126","126.2","-0.2","92","92.1","-0.2","94.9","-0.6","1.22"
"","2023-08-28","Lance Barrett","COL","ATL","4","14","137","8","8.3","129","128.7","0.3","94.2","93.9","0.2","94.2","-0.26","0.78"
"","2023-08-28","CB Bucknor","SEA","OAK","7","0","146","10","9.4","136","136.6","-0.6","93.2","93.6","-0.4","93.2","-0.11","0.95"
"","2023-08-28","Roberto Ortiz","SF","CIN","4","1","159","18","16.2","141","142.8","-1.8","88.7","89.8","-1.2","88.7","1.02","2.56"
"","2023-08-28","Chris Guccione","LAD","AZ","7","4","152","9","11.8","143","140.2","2.8","94.1","92.2","1.8","88.2","0.03","0.99"
"","2023-08-27","Nic Lentz","NYM","LAA","3","2","132","5","9.8","127","122.2","4.8","96.2","92.6","3.7","94.7","0.14","0.3"
"","2023-08-27","Dan Bellino","BAL","COL","3","4","110","10","8.9","100","101.1","-1.1","90.9","91.9","-1","93.6","-0.52","0.92"
"","2023-08-27","Brennan Miller","BOS","LAD","4","7","157","9","12.8","148","144.2","3.8","94.3","91.9","2.4","93","0.73","1.93"
"","2023-08-27","Jacob Metz","PIT","CHC","1","10","152","12","13.8","140","138.2","1.8","92.1","90.9","1.2","91.4","-0.91","2.11"
"","2023-08-27","Malachi Moore","PHI","STL","3","0","142","12","10.6","130","131.4","-1.4","91.5","92.6","-1","93","-0.3","1.64"
"","2023-08-27","Shane Livensparger","TOR","CLE","7","10","202","16","14","186","188","-2","92.1","93.1","-1","91.1","-0.15","3.75"
"","2023-08-27","Andy Fletcher","DET","HOU","4","17","169","8","7.5","161","161.5","-0.5","95.3","95.6","-0.3","92.9","-0.42","1.44"
"","2023-08-27","Tom Hanahan","MIA","WSH","2","1","133","4","7.3","129","125.7","3.3","97","94.5","2.5","95.5","-0.36","0.42"
"","2023-08-27","Adam Beck","TB","NYY","7","4","134","5","8.7","129","125.3","3.7","96.3","93.5","2.8","95.5","-0.12","0.56"
"","2023-08-27","John Bacon","MIN","TEX","7","6","237","16","17.1","221","219.9","1.1","93.2","92.8","0.5","94.5","1.03","2.65"
"","2023-08-27","David Rackley","CWS","OAK","6","1","143","11","7.4","132","135.6","-3.6","92.3","94.8","-2.5","95.8","0.96","1.62"
"","2023-08-27","Ramon De Jesus","MIL","SD","10","6","182","9","10","173","172","1","95.1","94.5","0.5","94.5","0","1.06"
"","2023-08-27","Chris Segal","AZ","CIN","5","2","146","11","11.7","135","134.3","0.7","92.5","92","0.5","94.5","0.31","1.41"
"","2023-08-27","Doug Eddings","SEA","KC","3","2","128","7","9.4","121","118.6","2.4","94.5","92.7","1.9","95.3","-0.01","0.89"
"","2023-08-27","Emil Jimenez","SF","ATL","8","5","154","11","8","143","146","-3","92.9","94.8","-1.9","94.2","-0.09","1.23"
"","2023-08-26","Adrian Johnson","TOR","CLE","8","3","131","8","7.4","123","123.6","-0.6","93.9","94.4","-0.5","94.7","-0.19","1.15"
