"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-07-04","Nate Tomlinson","WSH","NYM","1","0","115","9","9.2","106","105.8","0.2","92.2","92","0.1","93","-0.41","0.75"
"","2024-07-04","Erich Bacchus","PIT","STL","2","3","154","9","9.2","145","144.8","0.2","94.2","94","0.1","93.5","-0.17","0.87"
"","2024-07-04","Alan Porter","NYY","CIN","4","8","156","7","7.4","149","148.6","0.4","95.5","95.2","0.3","96.2","0.08","0.68"
"","2024-07-04","Ben May","TOR","HOU","3","5","152","11","11.1","141","140.9","0.1","92.8","92.7","0.1","94.1","1.38","1.78"
"","2024-07-04","Malachi Moore","MIN","DET","12","3","125","8","8.6","117","116.4","0.6","93.6","93.1","0.5","92.8","-0.39","0.87"
"","2024-07-04","Will Little","CLE","CWS","8","4","152","10","9.5","142","142.5","-0.5","93.4","93.7","-0.3","94.7","1.32","2.14"
"","2024-07-04","Marvin Hudson","MIA","BOS","5","6","191","4","10.2","187","180.8","6.2","97.9","94.6","3.3","97.4","0.2","0.36"
"","2024-07-04","Mark Wegner","CHC","PHI","10","2","136","11","7.6","125","128.4","-3.4","91.9","94.4","-2.5","92.6","-0.43","1.17"
"","2024-07-04","Lance Barrett","TEX","SD","1","3","142","8","9.1","134","132.9","1.1","94.4","93.6","0.7","96.5","-0.12","0.68"
"","2024-07-04","Edwin Jimenez","OAK","LAA","5","0","168","6","11.4","162","156.6","5.4","96.4","93.2","3.2","94","0.53","0.91"
"","2024-07-04","Adam Hamari","SEA","BAL","7","3","144","7","12.3","137","131.7","5.3","95.1","91.5","3.7","93.8","0.16","0.48"
"","2024-07-04","Sean Barber","ATL","SF","2","4","152","8","9.1","144","142.9","1.1","94.7","94","0.7","92.8","0.01","0.67"
"","2024-07-04","Adrian Johnson","KC","TB","8","10","200","13","14.4","187","185.6","1.4","93.5","92.8","0.7","95","0.53","2.47"
"","2024-07-04","Derek Thomas","COL","MIL","4","3","148","10","7.1","138","140.9","-2.9","93.2","95.2","-2","95.9","0.17","0.85"
"","2024-07-04","Stu Scheurwater","LAD","AZ","3","9","178","13","10.5","165","167.5","-2.5","92.7","94.1","-1.4","90.4","-0.56","1.62"
"","2024-07-03","Mike Estabrook","PIT","STL","5","4","153","8","12.5","145","140.5","4.5","94.8","91.9","2.9","93.5","0.35","1.21"
"","2024-07-03","Lance Barksdale","CLE","CWS","2","8","147","8","6","139","141","-2","94.6","95.9","-1.4","93.2","-0.01","0.75"
"","2024-07-03","Nick Mahrley","MIA","BOS","2","7","161","12","12.8","149","148.2","0.8","92.5","92","0.5","93.2","0.75","1.47"
"","2024-07-03","David Rackley","WSH","NYM","7","5","136","6","7.8","130","128.2","1.8","95.6","94.2","1.3","94.1","0.29","0.57"
"","2024-07-03","Jim Wolf","NYY","CIN","2","3","177","10","10.3","167","166.7","0.3","94.4","94.2","0.1","93.2","0.93","1.37"
"","2024-07-03","Dan Iassogna","TOR","HOU","2","9","144","12","8.7","132","135.3","-3.3","91.7","93.9","-2.3","92.4","0.22","0.96"
"","2024-07-03","Ryan Additon","ATL","SF","3","1","138","8","6.6","130","131.4","-1.4","94.2","95.2","-1","94.2","-0.05","1.13"
"","2024-07-03","John Bacon","TEX","SD","4","6","152","8","7.3","144","144.7","-0.7","94.7","95.2","-0.5","94.7","-0.54","1.38"
"","2024-07-03","Clint Vondrak","CHC","PHI","3","5","136","9","10.4","127","125.6","1.4","93.4","92.4","1","93.4","0.09","1.67"
"","2024-07-03","Jeremy Riggs","KC","TB","4","2","169","10","11.8","159","157.2","1.8","94.1","93","1","94.7","-1.17","1.55"
"","2024-07-03","Alex MacKay","MIN","DET","2","9","132","8","8.6","124","123.4","0.6","93.9","93.5","0.5","93.2","0.16","1.28"
"","2024-07-03","Mark Ripperger","COL","MIL","0","3","133","4","7.9","129","125.1","3.9","97","94","2.9","97","0.44","0.9"
"","2024-07-03","Mike Muchlinski","OAK","LAA","5","0","102","9","6.4","93","95.6","-2.6","91.2","93.7","-2.6","97.1","-0.79","1.45"
"","2024-07-03","Jordan Baker","LAD","AZ","4","12","191","13","13","178","178","0","93.2","93.2","0","95.8","0.64","2.7"
