"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-06-13","Malachi Moore","BAL","ATL","3","6","135","6","8.6","129","126.4","2.6","95.6","93.6","2","93.3","-0.3","0.92"
"","2024-06-13","Emil Jimenez","DET","WSH","7","2","158","6","8.8","152","149.2","2.8","96.2","94.4","1.8","93.7","-0.07","0.63"
"","2024-06-13","Ryan Wills","KC","NYY","4","3","132","6","11.2","126","120.8","5.2","95.5","91.5","4","91.7","-0.02","0.66"
"","2024-06-13","Phil Cuzzi","STL","PIT","4","3","136","6","10.7","130","125.3","4.7","95.6","92.1","3.4","96.3","0.18","0.46"
"","2024-06-13","Dan Iassogna","TB","CHC","3","2","129","4","5.6","125","123.4","1.6","96.9","95.6","1.3","93","-0.17","0.33"
"","2024-06-13","Alex MacKay","BOS","PHI","9","3","156","9","9.7","147","146.3","0.7","94.2","93.8","0.4","92.9","0.56","1.34"
"","2024-06-13","Tripp Gibson","NYM","MIA","3","2","142","10","10.9","132","131.1","0.9","93","92.3","0.6","95.8","0.35","1.85"
"","2024-06-13","Ramon De Jesus","MIN","OAK","6","2","130","11","8.5","119","121.5","-2.5","91.5","93.5","-1.9","90.8","-0.13","1.85"
"","2024-06-13","Edwin Moscoso","AZ","LAA","11","1","159","12","14.1","147","144.9","2.1","92.5","91.1","1.3","88.7","0.04","1.32"
"","2024-06-13","Brian Knight","SEA","CWS","2","3","141","7","9","134","132","2","95","93.6","1.4","90.8","0.41","0.55"
"","2024-06-13","Hunter Wendelstedt","LAD","TEX","1","3","153","8","11.9","145","141.1","3.9","94.8","92.2","2.6","94.8","-0.35","0.67"
"","2024-06-12","Edwin Jimenez","MIN","COL","17","9","173","5","10.8","168","162.2","5.8","97.1","93.7","3.4","93.6","0.34","0.86"
"","2024-06-12","Junior Valentine","MIL","TOR","5","4","144","14","8.9","130","135.1","-5.1","90.3","93.8","-3.5","88.2","-0.24","1.62"
"","2024-06-12","James Hoye","SF","HOU","5","3","124","9","8.6","115","115.4","-0.4","92.7","93.1","-0.3","95.2","0.42","1.2"
"","2024-06-12","Tom Hanahan","SD","OAK","5","4","174","9","12","165","162","3","94.8","93.1","1.7","93.7","0.22","1.18"
"","2024-06-12","Bill Miller","BAL","ATL","4","2","120","3","7.2","117","112.8","4.2","97.5","94","3.5","96.7","0.99","0.99"
"","2024-06-12","Chris Segal","DET","WSH","5","7","159","7","9.3","152","149.7","2.3","95.6","94.1","1.4","95.6","-0.34","0.68"
"","2024-06-12","Adam Beck","TB","CHC","3","4","160","15","12.2","145","147.8","-2.8","90.6","92.4","-1.8","88.8","-0.25","1.53"
"","2024-06-12","Sean Barber","CIN","CLE","4","2","138","17","11.2","121","126.8","-5.8","87.7","91.9","-4.2","92.8","-1.57","1.71"
"","2024-06-12","Derek Thomas","BOS","PHI","8","6","164","2","7.9","162","156.1","5.9","98.8","95.2","3.6","95.1","0.21","0.21"
