"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-04-29","Ben May","BAL","NYY","2","0","140","5","10.6","135","129.4","5.6","96.4","92.5","4","94.3","-0.27","0.43"
"","2024-04-29","Tom Hanahan","MIA","WSH","2","7","131","5","8.8","126","122.2","3.8","96.2","93.3","2.9","92.4","-0.01","0.65"
"","2024-04-29","Adam Hamari","TOR","KC","6","5","157","8","9.3","149","147.7","1.3","94.9","94.1","0.8","94.9","-0.47","1.09"
"","2024-04-29","Ryan Wills","NYM","CHC","1","3","111","9","7","102","104","-2","91.9","93.7","-1.8","94.6","-0.22","0.82"
"","2024-04-29","Jonathan Parra","CWS","MIN","2","3","142","12","11.7","130","130.3","-0.3","91.5","91.7","-0.2","95.1","0.58","1.54"
"","2024-04-29","Ryan Additon","MIL","TB","0","1","155","7","8.1","148","146.9","1.1","95.5","94.8","0.7","96.1","-0.13","0.53"
"","2024-04-29","Malachi Moore","LAA","PHI","6","5","180","9","12.9","171","167.1","3.9","95","92.8","2.2","95.6","0.77","1.11"
"","2024-04-29","Quinn Wolcott","AZ","LAD","4","8","172","12","11","160","161","-1","93","93.6","-0.6","94.8","0.26","1.66"
"","2024-04-29","Dan Bellino","OAK","PIT","5","1","156","11","10.3","145","145.7","-0.7","92.9","93.4","-0.5","92.3","-0.1","1.36"
"","2024-04-29","Todd Tichenor","SD","CIN","2","5","135","4","6.7","131","128.3","2.7","97","95","2","97.8","0.04","0.28"
"","2024-04-29","Lance Barksdale","SEA","ATL","2","1","145","6","8.6","139","136.4","2.6","95.9","94.1","1.8","95.2","0.39","0.69"
"","2024-04-28","Rob Drake","BAL","OAK","6","7","169","10","11.5","159","157.5","1.5","94.1","93.2","0.9","92.3","-0.67","1.05"
"","2024-04-28","Jim Wolf","ATL","CLE","4","3","168","8","11.3","160","156.7","3.3","95.2","93.3","1.9","95.2","-0.13","0.85"
"","2024-04-28","Nick Mahrley","TOR","LAD","3","1","117","7","7.1","110","109.9","0.1","94","93.9","0.1","93.2","-0.06","0.66"
"","2024-04-28","Dan Iassogna","DET","KC","4","1","122","2","6.2","120","115.8","4.2","98.4","94.9","3.5","98.4","-0.25","0.25"
"","2024-04-28","Laz Diaz","NYM","STL","4","2","139","8","9.9","131","129.1","1.9","94.2","92.8","1.4","94.2","-0.3","0.82"
"","2024-04-28","Mark Wegner","MIA","WSH","9","12","181","12","11.5","169","169.5","-0.5","93.4","93.6","-0.3","95","1.31","1.93"
"","2024-04-28","Tony Randazzo","CWS","TB","4","2","122","5","5.6","117","116.4","0.6","95.9","95.4","0.5","95.1","0.31","1.27"
"","2024-04-28","Mike Muchlinski","MIL","NYY","5","15","209","12","13.1","197","195.9","1.1","94.3","93.8","0.5","94.7","-1.27","2.47"
"","2024-04-28","Paul Clemons","TEX","CIN","4","3","137","7","9.2","130","127.8","2.2","94.9","93.3","1.6","95.6","0.03","0.97"
"","2024-04-28","Alan Porter","COL","HOU","2","8","119","3","5.4","116","113.6","2.4","97.5","95.4","2.1","92.4","-0.1","0.28"
"","2024-04-28","Emil Jimenez","SF","PIT","3","2","135","10","7.3","125","127.7","-2.7","92.6","94.6","-2","92.6","0.15","0.89"
"","2024-04-28","Dan Merzel","LAA","MIN","5","11","178","8","9.4","170","168.6","1.4","95.5","94.7","0.8","93.8","0.04","1.1"
"","2024-04-28","Bill Miller","SEA","AZ","2","3","139","13","9.4","126","129.6","-3.6","90.6","93.2","-2.6","91.4","-0.44","1.74"
"","2024-04-28","Lance Barrett","SD","PHI","6","8","146","9","10.1","137","135.9","1.1","93.8","93.1","0.8","96.6","0.94","1.14"
"","2024-04-28","Larry Vanover","BOS","CHC","5","4","131","8","10.1","123","120.9","2.1","93.9","92.3","1.6","88.5","0","0.7"
"","2024-04-27","John Tumpane","TOR","LAD","2","4","150","7","11","143","139","4","95.3","92.6","2.7","93.3","0.26","0.58"
"","2024-04-27","James Hoye","BAL","OAK","7","0","106","5","8.2","101","97.8","3.2","95.3","92.2","3","95.3","0.71","0.89"
"","2024-04-27","Erich Bacchus","NYM","STL","4","7","168","10","11","158","157","1","94","93.5","0.6","94","0.74","1.2"
"","2024-04-27","Brian O'Nora","TEX","CIN","4","8","142","14","8.3","128","133.7","-5.7","90.1","94.1","-4","92.3","-0.07","1.15"
"","2024-04-27","David Rackley","BOS","CHC","17","0","176","10","11","166","165","1","94.3","93.7","0.6","93.8","-0.16","1.02"
"","2024-04-27","Clint Vondrak","MIA","WSH","4","11","158","10","7.8","148","150.2","-2.2","93.7","95","-1.4","93","0.3","1.1"
"","2024-04-27","Sean Barber","COL","HOU","4","12","176","9","9.9","167","166.1","0.9","94.9","94.4","0.5","93.2","0.44","0.98"
"","2024-04-27","Adam Beck","DET","KC","6","5","162","5","9","157","153","4","96.9","94.4","2.5","95.1","0.26","0.44"
"","2024-04-27","Marvin Hudson","CWS","TB","8","7","175","9","11.2","166","163.8","2.2","94.9","93.6","1.2","93.1","-0.26","0.94"
"","2024-04-27","Andy Fletcher","MIL","NYY","3","15","188","14","10.9","174","177.1","-3.1","92.6","94.2","-1.6","96.3","-0.67","2.17"
"","2024-04-27","Brian Knight","ATL","CLE","2","4","133","8","10.1","125","122.9","2.1","94","92.4","1.6","93.2","0.12","1.18"
"","2024-04-27","Alfonso Márquez","SD","PHI","1","5","127","7","9.4","120","117.6","2.4","94.5","92.6","1.9","95.3","-0.04","0.44"
"","2024-04-27","Nic Lentz","SF","PIT","3","4","145","11","10.6","134","134.4","-0.4","92.4","92.7","-0.3","91.7","0.15","1.47"
"","2024-04-27","Mark Carlson","LAA","MIN","5","16","197","14","16","183","181","2","92.9","91.9","1","92.9","-1.29","2.89"
"","2024-04-27","Chad Whitson","SEA","AZ","3","1","123","12","9.6","111","113.4","-2.4","90.2","92.2","-2","93.5","0.77","1.51"
"","2024-04-26","CB Bucknor","DET","KC","0","8","164","16","9.6","148","154.4","-6.4","90.2","94.2","-3.9","90.9","0.15","2.19"
"","2024-04-26","John Libka","BAL","OAK","2","3","161","5","10.6","156","150.4","5.6","96.9","93.4","3.5","93.8","-0.53","0.53"
"","2024-04-26","Hunter Wendelstedt","TOR","LAD","2","12","186","14","13.6","172","172.4","-0.4","92.5","92.7","-0.2","94.1","0.78","2.12"
"","2024-04-26","Chris Segal","BOS","CHC","1","7","110","5","7","105","103","2","95.5","93.6","1.8","93.6","-0.26","0.58"
"","2024-04-26","Mike Estabrook","NYM","STL","2","4","138","10","9.3","128","128.7","-0.7","92.8","93.3","-0.5","92.8","0.44","0.74"
"","2024-04-26","Jeremie Rehak","MIA","WSH","1","3","126","5","7.2","121","118.8","2.2","96","94.3","1.8","98.4","-0.12","0.52"
"","2024-04-26","Chris Guccione","ATL","CLE","6","2","150","14","9.5","136","140.5","-4.5","90.7","93.7","-3","93.3","-0.94","1.48"
"","2024-04-26","Dan Bellino","CWS","TB","9","4","160","4","8.1","156","151.9","4.1","97.5","94.9","2.6","95","-0.16","0.26"
"","2024-04-26","Brennan Miller","TEX","CIN","2","1","135","7","8.2","128","126.8","1.2","94.8","93.9","0.9","94.1","0.14","0.98"
"","2024-04-26","Derek Thomas","MIL","NYY","7","6","184","3","13.8","181","170.2","10.8","98.4","92.5","5.9","96.7","0","0.22"
"","2024-04-26","Tripp Gibson","LAA","MIN","3","5","155","12","11.4","143","143.6","-0.6","92.3","92.7","-0.4","93.5","-0.61","1.71"
"","2024-04-26","Doug Eddings","SEA","AZ","6","1","134*","9*","7.6*","125*","126.4*","-1.4*","93.3*","94.3*","-1.1*","96.3*","-0.44*","2.34*"
"","2024-04-26","Roberto Ortiz","SD","PHI","3","9","153","17","12.8","136","140.2","-4.2","88.9","91.6","-2.7","90.8","-0.73","2.19"
"","2024-04-26","Gabe Morales","SF","PIT","3","0","152","9","9.7","143","142.3","0.7","94.1","93.6","0.5","93.4","0.2","1.56"
"","2024-04-25","Tom Hanahan","PIT","MIL","5","7","198","13","14.1","185","183.9","1.1","93.4","92.9","0.6","96","0.67","1.71"
"","2024-04-25","Scott Barry","CLE","BOS","6","4","146","6","7.5","140","138.5","1.5","95.9","94.9","1","93.8","0.84","1"
"","2024-04-25","Alex Tosi","CIN","PHI","0","5","157","7","9","150","148","2","95.5","94.3","1.3","93.6","-0.2","1.16"
"","2024-04-25","Nate Tomlinson","MIN","CWS","6","3","140","9","8.3","131","131.7","-0.7","93.6","94.1","-0.5","95","-0.58","1.62"
