"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2023-09-17","Clint Vondrak","BAL","TB","5","4","146","5","13.3","141","132.7","8.3","96.6","90.9","5.7","93.8","-0.1","0.36"
"","2023-09-17","Hunter Wendelstedt","PIT","NYY","3","2","124","10","8.7","114","115.3","-1.3","91.9","93","-1.1","91.1","0.28","1.38"
"","2023-09-17","Tripp Gibson","TOR","BOS","3","2","151","4","5.7","147","145.3","1.7","97.4","96.2","1.1","94.7","-0.17","0.55"
"","2023-09-17","Edwin Moscoso","NYM","CIN","8","4","153","9","10.4","144","142.6","1.4","94.1","93.2","0.9","94.8","-0.17","1.17"
"","2023-09-17","Roberto Ortiz","CLE","TEX","9","2","156","16","14.5","140","141.5","-1.5","89.7","90.7","-0.9","91","-0.3","1.56"
"","2023-09-17","Quinn Wolcott","MIA","ATL","16","2","175*","7*","11.3*","168*","163.7*","4.3*","96*","93.5*","2.5*","93.1*","-0.01*","0.97*"
"","2023-09-17","Derek Thomas","KC","HOU","1","7","136","5","8.6","131","127.4","3.6","96.3","93.7","2.7","97.1","0.22","0.54"
"","2023-09-17","Sean Barber","CWS","MIN","0","4","120","4","7.7","116","112.3","3.7","96.7","93.6","3.1","93.3","-0.37","1.01"
"","2023-09-17","Pat Hoberg","MIL","WSH","1","2","185","5","10.6","180","174.4","5.6","97.3","94.3","3","96.8","-0.09","0.63"
"","2023-09-17","Dan Merzel","STL","PHI","6","5","122","9","7.7","113","114.3","-1.3","92.6","93.7","-1","94.3","-0.36","0.72"
"","2023-09-17","Ryan Wills","COL","SF","10","11","156","12","12.4","144","143.6","0.4","92.3","92.1","0.3","92.3","0.41","1.45"
"","2023-09-17","Jeremy Riggs","LAA","DET","3","5","150","8","11.7","142","138.3","3.7","94.7","92.2","2.5","93.3","0.12","1.92"
"","2023-09-17","Alex MacKay","OAK","SD","1","10","163","12","9.8","151","153.2","-2.2","92.6","94","-1.3","93.3","-0.76","1.56"
"","2023-09-17","Bruce Dreckman","SEA","LAD","1","6","149","10","11","139","138","1","93.3","92.6","0.7","95.3","0.94","1.42"
"","2023-09-17","Junior Valentine","AZ","CHC","6","2","175","10","12.2","165","162.8","2.2","94.3","93.1","1.2","93.7","-0.8","1.32"
"","2023-09-16","Ryan Additon","COL","SF","9","5","180","15","16.3","165","163.7","1.3","91.7","90.9","0.7","92.2","0.91","1.93"
"","2023-09-16","Lance Barksdale","COL","SF","5","2","128","11","7.9","117","120.1","-3.1","91.4","93.8","-2.4","92.2","-0.42","1.88"
"","2023-09-16","Jordan Baker","TOR","BOS","4","3","199","10","11","189","188","1","95","94.5","0.5","94","-0.9","1.34"
"","2023-09-16","David Arrieta","OAK","SD","2","5","192","15","10.9","177","181.1","-4.1","92.2","94.3","-2.1","92.7","-0.73","1.51"
"","2023-09-16","Adrian Johnson","MIA","ATL","11","5","169","10","10.3","159","158.7","0.3","94.1","93.9","0.2","94.7","0.78","0.94"
"","2023-09-16","Rob Drake","CLE","TEX","2","1","140","11","7.6","129","132.4","-3.4","92.1","94.6","-2.5","94.3","-1.78","2.04"
"","2023-09-16","Ryan Blakney","PIT","NYY","3","6","165","12","9.3","153","155.7","-2.7","92.7","94.3","-1.6","95.2","-0.85","2.41"
"","2023-09-16","Adam Hamari","BAL","TB","8","0","112","8","9.3","104","102.7","1.3","92.9","91.7","1.1","91.1","-0.03","0.77"
"","2023-09-16","John Libka","KC","HOU","10","8","165","4","8.3","161","156.7","4.3","97.6","95","2.6","97","-0.12","0.34"
"","2023-09-16","Larry Vanover","NYM","CIN","2","3","190","16","10.8","174","179.2","-5.2","91.6","94.3","-2.7","93.2","0.43","1.79"
"","2023-09-16","Nate Tomlinson","CWS","MIN","7","6","169","5","9.5","164","159.5","4.5","97","94.4","2.7","97","-0.68","0.9"
"","2023-09-16","Tom Hanahan","MIL","WSH","9","5","190","9","11.2","181","178.8","2.2","95.3","94.1","1.2","91.6","-0.16","1.22"
"","2023-09-16","Brian Knight","STL","PHI","1","6","158","15","10.3","143","147.7","-4.7","90.5","93.5","-3","91.8","-0.84","3.52"
"","2023-09-16","Jeremie Rehak","AZ","CHC","7","6","207","11","14.6","196","192.4","3.6","94.7","92.9","1.7","94.2","-0.03","1.87"
"","2023-09-16","Paul Clemons","LAA","DET","4","5","198","13","13.3","185","184.7","0.3","93.4","93.3","0.1","91.4","-0.69","1.55"
"","2023-09-16","Malachi Moore","SEA","LAD","2","6","168","7","10","161","158","3","95.8","94","1.8","94.6","-0.29","0.73"
"","2023-09-15","John Tumpane","PIT","NYY","5","7","191","11","10.5","180","180.5","-0.5","94.2","94.5","-0.3","90.6","-0.63","1.83"
"","2023-09-15","Charlie Ramos","MIA","ATL","9","6","142","7","10.8","135","131.2","3.8","95.1","92.4","2.6","91.5","0.3","0.8"
"","2023-09-15","Vic Carapazza","BAL","TB","1","7","125","8","7.8","117","117.2","-0.2","93.6","93.7","-0.1","96","-0.22","0.78"
"","2023-09-15","Mark Carlson","TOR","BOS","3","0","121","9","9.3","112","111.7","0.3","92.6","92.3","0.3","94.2","0.16","0.82"
"","2023-09-15","David Rackley","NYM","CIN","3","5","159","8","9","151","150","1","95","94.4","0.6","91.8","0.11","1.03"
"","2023-09-15","Lance Barrett","CLE","TEX","12","3","173","14","8.5","159","164.5","-5.5","91.9","95.1","-3.2","94.8","0.39","1.21"
"","2023-09-15","Alan Porter","CWS","MIN","2","10","184","6","9.7","178","174.3","3.7","96.7","94.7","2","95.7","0.01","0.61"
"","2023-09-15","James Hoye","KC","HOU","4","2","167","12","10","155","157","-2","92.8","94","-1.2","92.8","-0.75","2.15"
"","2023-09-15","Brian O'Nora","MIL","WSH","5","3","162","10","9.1","152","152.9","-0.9","93.8","94.4","-0.6","92","0.09","1.05"
"","2023-09-15","Alex Tosi","STL","PHI","4","5","200","9","12","191","188","3","95.5","94","1.5","94","1.3","1.3"
"","2023-09-15","Will Little","COL","SF","3","2","142","9","8.5","133","133.5","-0.5","93.7","94","-0.3","92.3","0.12","1.5"
"","2023-09-15","Jansen Visconti","LAA","DET","2","11","152","5","10.4","147","141.6","5.4","96.7","93.1","3.6","92.1","0.02","0.42"
"","2023-09-15","Chris Guccione","AZ","CHC","6","4","133","13","10.1","120","122.9","-2.9","90.2","92.4","-2.2","95.5","0.76","1.52"
"","2023-09-15","Dan Iassogna","OAK","SD","3","8","183","16","12.5","167","170.5","-3.5","91.3","93.2","-1.9","90.7","-0.82","1.64"
"","2023-09-15","Mark Wegner","SEA","LAD","3","6","144","9","8.3","135","135.7","-0.7","93.8","94.3","-0.5","93.1","0.2","1.4"
"","2023-09-14","Angel Hernandez","PIT","WSH","2","0","93","15","7","78","86","-8","83.9","92.5","-8.6","91.4","-0.9","1.62"
"","2023-09-14","Quinn Wolcott","DET","CIN","8","2","140","7","10","133","130","3","95","92.9","2.1","95","0.88","1.04"
"","2023-09-14","Todd Tichenor","BOS","NYY","5","0","160","10","11.7","150","148.3","1.7","93.8","92.7","1.1","92.5","0.43","1.03"
"","2023-09-14","Dan Merzel","BOS","NYY","5","8","168","5","8.4","163","159.6","3.4","97","95","2","96.4","0.1","0.46"
"","2023-09-14","Brennan Miller","MIL","MIA","4","2","157","6","9.7","151","147.3","3.7","96.2","93.8","2.3","95.5","0.8","1.04"
